Query number,doc_number
1,213579
1,151851
1,359272
1,72335
1,378532
1,355976
1,217047
1,237264
1,62498
1,315439
2,239433
2,397911
2,428907
2,413834
2,446730
2,389103
2,393094
2,241970
2,446932
2,348119
3,412243
3,322194
3,389228
3,28266
3,184480
3,157108
3,314245
3,114937
3,143836
3,99492
4,215320
4,134983
4,114946
4,83789
4,252106
4,425159
4,423161
4,318292
4,286212
4,99716
5,266494
5,481487
5,228885
5,258900
5,429555
5,237579
5,400329
5,171495
5,112942
5,184719
6,390654
6,294577
6,277366
6,187379
6,480841
6,51271
6,117436
6,394539
6,150781
6,493843
7,134603
7,247139
7,173088
7,444818
7,302479
7,229311
7,190479
7,377552
7,265715
7,250183
8,236500
8,405570
8,14705
8,109001
8,362404
8,95204
8,401711
8,102418
8,323435
8,483356
9,102770
9,95059
9,382221
9,87600
9,287003
9,53352
9,315769
9,320495
9,165911
9,131782
10,297761
10,89072
10,144478
10,288183
10,472683
10,242805
10,466943
10,174391
10,428414
10,205076
11,386997
11,227359
11,275918
11,129888
11,355334
11,80551
11,32906
11,466378
11,305019
11,160583
12,267626
12,3976
12,393641
12,383404
12,355270
12,378461
12,176738
12,209061
12,309952
12,459238
13,79603
13,481938
13,164486
13,184607
13,287137
13,143587
13,445236
13,148453
13,412373
13,54200
14,423544
14,482219
14,474792
14,463695
14,98162
14,212878
14,4073
14,71200
14,210086
14,420475
15,442250
15,324887
15,284662
15,53396
15,348309
15,449456
15,381470
15,90609
15,184067
15,444070
16,476737
16,126539
16,234370
16,314288
16,281345
16,439008
16,228341
16,116172
16,99653
16,72772
17,337104
17,479690
17,473427
17,83335
17,474821
17,361737
17,251783
17,87738
17,362746
17,457424
18,426872
18,179059
18,13449
18,19726
18,96953
18,183857
18,350565
18,223887
18,289586
18,104090
19,50831
19,342368
19,138620
19,252387
19,5887
19,90519
19,259214
19,30236
19,218982
19,332586
20,79672
20,441672
20,468119
20,362713
20,446893
20,311161
20,442885
20,217913
20,197720
20,401396
21,148679
21,229100
21,389777
21,250951
21,196889
21,73600
21,369123
21,61425
21,438632
21,200600
22,203340
22,309912
22,133830
22,141837
22,121512
22,314585
22,238471
22,499106
22,347763
22,31297
23,332471
23,92263
23,163112
23,178352
23,39061
23,360132
23,69888
23,71790
23,218462
23,68502
24,451729
24,281834
24,451396
24,320100
24,238510
24,167147
24,394689
24,15626
24,96667
24,313960
25,10519
25,150286
25,264487
25,259798
25,276547
25,100578
25,396027
25,85682
25,435670
25,242093
26,88548
26,417222
26,407807
26,33180
26,179589
26,460912
26,31839
26,214566
26,227553
26,372683
27,88106
27,290689
27,200193
27,355134
27,133067
27,141729
27,454715
27,366933
27,268658
27,35297
28,328501
28,67638
28,189580
28,204911
28,292675
28,157428
28,199228
28,339020
28,441422
28,457684
29,134929
29,215162
29,6910
29,51481
29,108222
29,298278
29,13579
29,174789
29,276425
29,418482
30,398536
30,171306
30,164923
30,142838
30,34719
30,403418
30,413971
30,351135
30,499957
30,190429
31,323226
31,65801
31,418970
31,312600
31,193321
31,75205
31,302548
31,413968
31,161077
31,263789
32,307971
32,323197
32,218470
32,342624
32,69341
32,84082
32,189638
32,445398
32,41366
32,418093
33,348784
33,180557
33,372234
33,311882
33,344066
33,442610
33,250440
33,378214
33,367
33,82120
34,478956
34,7184
34,74998
34,267678
34,172371
34,395012
34,469340
34,210990
34,242407
34,449940
35,122496
35,453639
35,63958
35,168461
35,500032
35,485201
35,12667
35,237451
35,401421
35,102488
36,394974
36,121240
36,153342
36,191215
36,458216
36,13325
36,240934
36,92058
36,461754
36,281127
37,38642
37,179568
37,189078
37,279782
37,256130
37,11073
37,112827
37,242387
37,362148
37,161112
38,24642
38,434468
38,492772
38,252482
38,178790
38,431918
38,247042
38,47682
38,168051
38,398634
39,363436
39,125945
39,164763
39,444586
39,10528
39,270699
39,371634
39,61706
39,88965
39,361560
40,321141
40,299410
40,198985
40,126143
40,461626
40,85336
40,181703
40,458406
40,78785
40,37071
41,15039
41,231053
41,102838
41,329795
41,116659
41,314651
41,33838
41,265677
41,121614
41,280272
42,160681
42,280565
42,498283
42,381527
42,208993
42,317867
42,90044
42,436046
42,451781
42,93920
43,171753
43,401714
43,52999
43,96462
43,456235
43,109819
43,6314
43,88132
43,417541
43,351331
44,491788
44,378560
44,121606
44,407868
44,491003
44,470570
44,303736
44,459825
44,58551
44,160298
45,14995
45,416506
45,39299
45,100912
45,259585
45,159002
45,453947
45,327960
45,240336
45,423837
46,461424
46,83386
46,321666
46,340499
46,287720
46,160205
46,129286
46,412607
46,163370
46,381550
47,343370
47,475836
47,407006
47,170375
47,478897
47,177003
47,263405
47,111875
47,85236
47,73604
48,71786
48,72367
